Done,id_post,right_addres,post_score
Никита,20460,"Набережная канала Грибоедова, 26а",9.4
Никита,20252,"Стачек проспект, 90",4
Никита,20064,"Торфяная дорога, 2 к1",9
Никита,19776,"Средний проспект В.О., 61",9
Никита,19386,"Боровая, 22",8
Никита,19246,"Каменноостровский проспект, 42",7
Никита,18754,"Авиаконструкторов проспект, 9а",9
Никита,18342,"Маршала Казакова, 35б",6
Никита,17885,"Испытателей проспект, 4в",7
Никита,17581,"Боткинская, 3 к1",8
Никита,17340,"Ушинского, 5б",9
Никита,17040,"Прибрежная, 20",2
Никита,16863,"Богатырский проспект, 1а",6
Никита,16614,"Науки проспект, 41ж",9
Никита,16360,"Ленсовета, 66/70",8.5
Никита,16144,"Художников проспект, 26е",6
Никита,15951,"Художников проспект, 10Б",5
Никита,15597,"Одоевского, 27",9
Никита,15304,"Новаторов бульвар, 83",6
Никита,15112,"Димитрова, 18д",9
Никита,14959,"Будапештская, 41в",4
Никита,14789,"Балтийского вокзала площадь, 1д",7.5
Никита,14672,"Серебристый бульвар, 27а",7
Никита,14527,"пос. Мурино, Привокзальная площадь, 3а",7
Никита,14238,"Новочеркасский проспект, 39/2",4
Никита,13962,"Камышовая, 13",8
Никита,13827,"Будапештская, 71к1",6
Никита,13669,"Бассейная, 22д",4
Никита,13352,"Набережная канала Грибоедова, 26",9
Никита,13246,"Малая Посадская, 13 к2",10
Никита,13147,"Чайковского, 21а",7.5
Никита,12854,"пос. Мурино, Привокзальная площадь, 3а",6
Никита,12723,"Лиговский проспект, 105",5
Никита,12598,"Некрасова, 58",9.5
Никита,12343,"Коломяжский проспект, 26а",7
Никита,12206,"Кирочная, 28",8
Никита,12126,"Авиаконструкторов проспект, 22а",7
Никита,12014,"Удельный проспект, 2",6
Никита,11930,"Пискарёвка ст, 4",7
Никита,11750,"Партизана Германа, 22",6
Никита,11682,"Железноводская, 68",9
Никита,11585,"Большевиков проспект, 19а",1
Никита,11455,"Гражданский проспект, 119 к4",7.5
Никита,11328,"пос. Мурино, Привокзальная площадь, 3а",7
Никита,11101,"Лесной проспект, 61а к3",8
Никита,10989,"Коллонтай, 32 к1Б",7
Никита,10759,"Колпинская, 14",5
Никита,10524,"Удельный проспект, 2е",2
Никита,10400,"Варшавская, 108г",9.5
Никита,10279,"Просвещения проспект, 32д",4
Никита,10179,"Есенина, 5б",7
Никита,10071,"Средний проспект В.О., 34",4
Никита,9767,"Маршала Казакова, 36 к1",8.5
Никита,9639,"Лиговский проспект, 50б",10
Никита,9514,"Комендантский проспект, 13",2
Никита,9345,"Типанова, 5",6
Никита,39558,"Малая Бухарестская, 10б",6.5
Никита,38829,"Московский проспект, 23",4
Никита,37748,"Приозерское шоссе, 10 к1",5
Никита,37000,"Металлистов проспект, 57",5.5
Никита,36645,"Солидарности проспект, 11 к2",6
Никита,35929,"Большевиков проспект, 32а",7
Никита,35220,"Энгельса проспект, 162 к4",1
Никита,34451,"Светлановский проспект, 40",7.5
Никита,33853,"Малая Бухарестская, 15",9
Никита,33191,"Чернышевского проспект, 20в",8
Никита,32670,"Мелитопольский переулок, 4",6.5
Никита,32181,"Кирочная, 22",3.5
Никита,31660,"Садовая, 3",9.5
Никита,31308,"Римского-Корсакова проспект, 103",3
Никита,30758,"Санкт-Петербургское шоссе, 88",6
Никита,30196,"Гренадерская, 22",5
Никита,29926,"Коммунаров (Сестрорецк), 4а",5
Никита,29498,"Просвещения проспект, 87в",7
Никита,28929,"Ударников проспект, 29а",8
Никита,28052,"Балтийская, 36",8.5
Никита,27466,Авиаконструкторов про,9
Никита,27179,"Маршала Захарова, 18 к1",7.5
Никита,26559,"Смолячкова, 16",5
Никита,26028,"Всеволожский проспект, 55",6.5
Никита,25359,"Новаторов бульвар, 112 к1",8
Никита,24943,"Волковский проспект, 30",7
Никита,24412,"Набережная Обводного канала, 122в",6
Никита,23861,"6-я линия В.О., 43а",8.7
Никита,23401,"Невский проспект, 85е",7.4
Никита,22772,"Бутлерова, 40",8
Никита,22434,"Суворовский проспект, 10а",6.5
Никита,21901,"Ботаническая (Петергоф), 18 к6",7
Никита,21559,"Литейный проспект, 64",3
Никита,21000,"Рихарда Зорге, 6 к2",7
Никита,20427,"Московский проспект, 51",7
Никита,18785,"Вознесенский проспект, 55",9
Никита,17915,"Заставская, 28",8
Никита,15283,"Большая Зеленина, 13",8
Никита,10716,"Тульская, 3",5
Никита,9119,"Малая Морская, 15",8
Василина,37029,Ул. Партизана Германа 22к1,9.1
Василина,29208,"Сквер Блокадников у Пр. Тореза, 9",8.5
Василина,23732,Сенная площадь,8.5
Василина,20673,"пересечении проспекта космонавтов и улицы Типанова, рядом со СПАРом",
Василина,20159,"Димитрова, 13",7
Василина,19857,Парнас,8
Василина,19594,5 углов,8
Василина,19106,м.Чернышевская ,8
Василина,18867,Большой проспект В.О.,6
Василина,18544,м. Парк Победы,5.5
Василина,18062,"Лиговский просп., 153",1
Василина,17764,ТК Платформа,8
Василина,17107,канал Грибоедова,7
Василина,16949,Литейный проспект/Кирочная ул,4
Василина,16754,площадь Мужества ,3
Василина,16477,5 углов,8.5
Василина,16222,"Ленинский пр., 98",
Василина,16032,"ул. Ярослава Гашека, 9 корпус 1",7
Василина,15792,"Боткинская ул., 3, корп. 1-А",8
Василина,15497,"Шуваловский пр., 72к1",9
Василина,15200,"Гражданский пр., 119к4",9
Василина,15014,Павловск ,6
Василина,13882,"Лесной проспект, 61а к3",4
Василина,13659,"Гражданский проспек, 119 к4",6.5
Василина,13320,Остановка Площадь Мужества,8
Василина,13208,"Невский пр-кт, 65",8
Василина,13072,"ул. Ярослава Гашека, 8
",6
Василина,12800,"Московский пр., 31",8
Василина,12557,"Ленинский пр., 144к2",7
Василина,11641,пр. Космонавтов 42,9
Василина,11357,ул. Костюшко,3.5
Василина,11096,"Учебный переулок, 11Б",8
Василина,10919,"Нарвский проспект, 31",9
Василина,10617,"Лиговский проспект, 74",3
Василина,10486,"Кирпичный переулок, 3",6
Василина,10007,"Невский проспект, 5",8
Василина,9818,Пушкин,9
Василина,9597,Петергоф,7
Василина,9261,Сосновый бор,6.8
Василина,39711,Апраксин переулок 4,9.6
Василина,39115,"Торфяная дор., 6",5.5
Василина,38000,"Богатырский 7, к8",8.5
Василина,37467,"ул. Есенина, 5б",9
Василина,36763,"Баррикадная, 28",5
Василина,36460,Оптиков 24/42,6
Василина,35618,Коломяжский проспект д. 26А,8.5
Василина,35025,Гражданский проспект/ул Верности,3
Василина,34060,"Средний пр. В.О., 19",7.5
Василина,33488,Балканская пл,3
Василина,33076,"Пражская ул., 20",8.5
Василина,32071,ул. Хошимина 18,5
Василина,31448,"Колпино, ул. Тверская, д. 50",2
Василина,31089,"Балканская пл, 5Б",6
Василина,30317,Большая Зеленина 11 / Колпинский переулок 1,8
Василина,30039,"пр. Косыгина, 22",3
Василина,29822,"пр. Науки, 44",9
