Do,id_post,right_addres,post_score,name
Глеб,12292,"Каменноостровский проспект, 22",2,
Глеб,10952,"Каменноостровский проспект, 42",6,
Глеб,21978,"Каменноостровский проспект, 42",9,
Глеб,19246,"Каменноостровский проспект, 42",7,
Глеб,9677,"Камышовая улица, 13",8,
Глеб,13962,"Камышовая, 13",8,
Глеб,24824,"Камышовая, 13",4,
Глеб,18999,"Камышовая, 34а",7,
Глеб,17107,канал Грибоедова,7,
Глеб,12939,"Канемировская, 26а",7,
Глеб,26824,"Кантемировская, 26А",5.5,
Глеб,32208,"Кантемировская, 26Б",8,
Глеб,25400,"Кантемировская, 27Б",8,
Глеб,31397,"Кингисеппское шоссе, 22",9,
Глеб,32572,"Кирочная, 17",7.5,
Глеб,32181,"Кирочная, 22",3.5,
Глеб,12206,"Кирочная, 28",8,
Глеб,25740,"Кирочная, 28/22",7.5,
Даня,10486,"Кирпичный переулок, 3",6,
Даня,28589,"Клинский проспект, 22",7,
Даня,24300,"Клинский проспект, 22",7,
Даня,27216,"Коллонтай, 30в",7,
Даня,10989,"Коллонтай, 32 к1Б",7,
Даня,35618,Коломяжский проспект д. 26А,8.5,
Даня,24183,"Коломяжский проспект, 19 к2",2,
Даня,22731,"Коломяжский проспект, 24",7.5,
Даня,12334,"Коломяжский проспект, 26а",9,
Даня,14556,"Коломяжский проспект, 26а",2,
Даня,12343,"Коломяжский проспект, 26а",7,
Даня,31448,"Колпино, ул. Тверская, д. 50",2,
Даня,10759,"Колпинская, 14",5,
Даня,15913,"Колпинский переулок, 1",6,
Даня,13666,"Коменданский проспект, 6 к1",10,
Даня,13227,"Комендантский проспект, 12в",3,
Даня,9514,"Комендантский проспект, 13",2,
Даня,30454,"Комендантский проспект, 26",7.5,
Даня,29926,"Коммунаров (Сестрорецк), 4а",5,
Даня,38940,"Композиторов, 31а",6.5,
Даня,26215,"Комсомола, 16",8,
Даня,20556,"Кондратьевский проспект, 40",8,
Даня,9729,Кораблестроителей 35,9,
Даня,13727,"Кораблестроителей, 35",9.5,
Даня,37162,"Кораблестроителей, 35",1,
Даня,32964,"Кораблестроителей, 48 к2",8.5,
Даня,24207,"Королёва проспект, 43",5,
Даня,11641,"Космонавтов проспект, 42",9,
Даня,30039,"Косыгина проспект, 22",3,
Даня,17241,"Косыгина проспект, 26 к1",9,
Даня,20333,"Косыгина проспект, 31",4.5,
Даня,26955,"Красное село,пр. Ленина, 61/2",1,
Даня,23316,"Краснопутиловская, 30",8,
Даня,14014,"Красных Курсантов бульвар, 63 к2",6,
Даня,31057,"Кронверкский проспект, 21",7,
Даня,11742,"Кронверкский проспект, 23",7,
Даня,10198,"Кронверкский проспект, 23",7,
Даня,15841,"Кронверкский проспект, 45",8,
Даня,23342,"Кронверкский проспект, 45",7.5,
Даня,36712,"Кронверкский проспект, 9а",1,
Даня,24693,"Крыленко, 21а",7.5,
Даня,26840,"Крыленко, 21Б",6,
Даня,20639,"Крыленко, 21Б",9,
Даня,20807,"Кузнецова проспект, 32 к2",5.5,
Даня,35111,"Культуры проспект, 1",1,
Даня,12192,"Купчинская, 23 к1 лит А",9,
Даня,32093,"Купчинская, 32",6,
Даня,37132,"Купчинская, 32 к1",6.5,
Даня,11749,"Ланское шоссе, 12",6.5,
Даня,30285,"Ланское шоссе, 43",8,
Даня,15138,"Ленина площадь, 4и",8,
Даня,21339,"Ленина площадь, 6",6.5,
Даня,22067,"Ленина проспект, 13 а",7,
Даня,31768,"Ленинградская, 7",6,
Даня,12557,"Ленинский пр., 144к2",7,
Даня,21605,"Ленинский проспект, 116",4,
Даня,14097,"Ленинский проспект, 127 к1",5,
Даня,22488,"Ленинский проспект, 129 к6",8,
Даня,23806,"Ленинский проспект, 129 к6",7,
Даня,14223,"Ленинский проспект, 147",7,
Даня,14359,"Ленинский проспект, 98",8,
Даня,37727,"Ленинский проспект, 98",5,
Даня,22017,"Ленская, 17 к1",9,
Даня,16297,"Ленская, 17 к1 ",9,
Даня,10817,"Ленсовета, 42.",6,
Даня,16801,"Ленсовета, 53а",5.5,
Даня,16360,"Ленсовета, 66/70",8.5,
